"Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Last_Support_Ticket,Churn,Account_Age_Months,Contract_Type,Tenure_Range,Risk_Score,Risk_Level"
"790,2,28,Just checking if my payment went through.,0,26.333333333333332,Biennial,2+ Years,0.115,Low"
"399,0,28,Just checking if my payment went through.,1,13.3,Annual,1-2 Years,0.64,High"
"646,0,110,The integration with Slack works perfectly.,0,21.533333333333335,Annual,1-2 Years,0.0,Low"
"113,2,21,Just checking if my payment went through.,0,3.7666666666666666,Month-to-month,0-6 Months,0.035,Low"
"322,2,7,Your API documentation is outdated and full of errors.,1,10.733333333333333,Month-to-month,6-12 Months,1.0,Very High"
"8,0,40,Just checking if my payment went through.,0,0.26666666666666666,Month-to-month,0-6 Months,0.02,Low"
"436,1,3,The UI is too confusing. I can't find the export button.,1,14.533333333333333,Annual,1-2 Years,0.98,Very High"
"973,2,20,Just checking if my payment went through.,0,32.43333333333333,Biennial,2+ Years,0.05,Low"
"305,0,25,Just checking if my payment went through.,0,10.166666666666666,Month-to-month,6-12 Months,0.065,Low"
"26,0,35,When will the maintenance window end?,0,0.8666666666666667,Month-to-month,0-6 Months,0.145,Low"
"726,1,9,Your API documentation is outdated and full of errors.,1,24.2,Biennial,1-2 Years,0.925,Very High"
"911,0,18,How do I change my password?,0,30.366666666666667,Biennial,2+ Years,0.165,Low"
"1017,1,7,The app crashes every time I try to upload a CSV.,1,33.9,Biennial,2+ Years,0.975,Very High"
"791,0,17,Just checking if my payment went through.,0,26.366666666666667,Biennial,2+ Years,0.01,Low"
"599,0,46,I love the new analytics feature! Great job.,0,19.966666666666665,Annual,1-2 Years,0.0,Low"
"19,2,26,Can I add more seats to my current plan?,0,0.6333333333333333,Month-to-month,0-6 Months,0.11,Low"
"691,1,1,The UI is too confusing. I can't find the export button.,1,23.033333333333335,Annual,1-2 Years,0.94,Very High"
"496,1,11,I've been waiting for support for 3 days. I'm cancelling.,1,16.533333333333335,Annual,1-2 Years,0.97,Very High"
"691,0,32,Is there a tutorial for the new dashboard feature?,1,23.033333333333335,Annual,1-2 Years,0.67,High"
"8,0,57,This tool has saved my team so much time.,0,0.26666666666666666,Month-to-month,0-6 Months,0.005,Low"
"64,2,57,Just checking if my payment went through.,0,2.1333333333333333,Month-to-month,0-6 Months,0.125,Low"
"922,2,27,Just checking if my payment went through.,0,30.733333333333334,Biennial,2+ Years,0.2,Low"
"98,1,2,I'm very frustrated with the downtime. This is unacceptable.,1,3.2666666666666666,Month-to-month,0-6 Months,0.935,Very High"
"710,2,51,Is there a tutorial for the new dashboard feature?,0,23.666666666666668,Annual,1-2 Years,0.175,Low"
"152,0,38,Can I add more seats to my current plan?,0,5.066666666666666,Month-to-month,0-6 Months,0.0,Low"
"466,2,41,Is there a tutorial for the new dashboard feature?,0,15.533333333333333,Annual,1-2 Years,0.05,Low"
"366,1,2,I've been waiting for support for 3 days. I'm cancelling.,1,12.2,Annual,1-2 Years,1.0,Very High"
"747,2,10,The app crashes every time I try to upload a CSV.,1,24.9,Biennial,2+ Years,0.955,Very High"
"892,2,13,I'm very frustrated with the downtime. This is unacceptable.,1,29.733333333333334,Biennial,2+ Years,0.555,Medium"
"1044,0,81,Customer support was super helpful yesterday. Thanks!,0,34.8,Biennial,2+ Years,0.135,Low"
"112,2,8,Your API documentation is outdated and full of errors.,1,3.7333333333333334,Month-to-month,0-6 Months,0.935,Very High"
"330,1,8,I'm very frustrated with the downtime. This is unacceptable.,1,11.0,Month-to-month,6-12 Months,0.995,Very High"
"440,2,1,Why did my subscription price increase without notice?,1,14.666666666666666,Annual,1-2 Years,0.985,Very High"
"1083,2,55,Just checking if my payment went through.,0,36.1,Biennial,2+ Years,0.19,Low"
"801,0,23,Just checking if my payment went through.,0,26.7,Biennial,2+ Years,0.03,Low"
"139,1,12,The UI is too confusing. I can't find the export button.,0,4.633333333333334,Month-to-month,0-6 Months,0.925,Very High"
"968,2,47,Just checking if my payment went through.,0,32.266666666666666,Biennial,2+ Years,0.67,High"
"570,0,105,Customer support was super helpful yesterday. Thanks!,0,19.0,Annual,1-2 Years,0.015,Low"
"383,2,39,Can I add more seats to my current plan?,0,12.766666666666667,Annual,1-2 Years,0.035,Low"
"382,0,58,This tool has saved my team so much time.,0,12.733333333333333,Annual,1-2 Years,0.0,Low"
"917,1,12,Your API documentation is outdated and full of errors.,1,30.566666666666666,Biennial,2+ Years,0.915,Very High"
"835,2,6,The UI is too confusing. I can't find the export button.,1,27.833333333333332,Biennial,2+ Years,0.575,Medium"
"506,1,4,The UI is too confusing. I can't find the export button.,1,16.866666666666667,Annual,1-2 Years,0.98,Very High"
"575,0,68,The integration with Slack works perfectly.,0,19.166666666666668,Annual,1-2 Years,0.0,Low"
"446,2,15,Just checking if my payment went through.,1,14.866666666666667,Annual,1-2 Years,0.725,High"
"698,0,65,I love the new analytics feature! Great job.,0,23.266666666666666,Annual,1-2 Years,0.01,Low"
"903,0,27,Can I add more seats to my current plan?,0,30.1,Biennial,2+ Years,0.02,Low"
"56,2,42,Just checking if my payment went through.,0,1.8666666666666667,Month-to-month,0-6 Months,0.05,Low"
"1049,2,1,I've been waiting for support for 3 days. I'm cancelling.,1,34.96666666666667,Biennial,2+ Years,0.865,Very High"
"894,1,1,Your API documentation is outdated and full of errors.,1,29.8,Biennial,2+ Years,0.735,High"
"676,2,3,Your API documentation is outdated and full of errors.,1,22.533333333333335,Annual,1-2 Years,0.91,Very High"
"415,0,40,When will the maintenance window end?,1,13.833333333333334,Annual,1-2 Years,0.63,High"
"47,0,113,Customer support was super helpful yesterday. Thanks!,0,1.5666666666666667,Month-to-month,0-6 Months,0.03,Low"
"792,2,27,How do I change my password?,0,26.4,Biennial,2+ Years,0.195,Low"
"344,0,60,This tool has saved my team so much time.,0,11.466666666666667,Month-to-month,6-12 Months,0.0,Low"
"939,0,25,Just checking if my payment went through.,0,31.3,Biennial,2+ Years,0.13,Low"
"751,1,14,Why did my subscription price increase without notice?,1,25.033333333333335,Biennial,2+ Years,1.0,Very High"
"601,0,101,""Smooth experience so far, no complaints."",0,20.033333333333335,Annual,1-2 Years,0.005,Low"
"1049,0,45,When will the maintenance window end?,0,34.96666666666667,Biennial,2+ Years,0.0,Low"
"395,0,51,Can I add more seats to my current plan?,0,13.166666666666666,Annual,1-2 Years,0.01,Low"
"1023,1,7,I've been waiting for support for 3 days. I'm cancelling.,1,34.1,Biennial,2+ Years,0.9,Very High"
"237,2,23,When will the maintenance window end?,1,7.9,Month-to-month,6-12 Months,0.655,High"
"873,2,51,When will the maintenance window end?,0,29.1,Biennial,2+ Years,0.205,Low"
"874,0,53,Can I add more seats to my current plan?,0,29.133333333333333,Biennial,2+ Years,0.495,Medium"
"175,0,112,I love the new analytics feature! Great job.,0,5.833333333333333,Month-to-month,0-6 Months,0.01,Low"
"979,2,18,Just checking if my payment went through.,0,32.63333333333333,Biennial,2+ Years,0.03,Low"
"1052,2,51,Is there a tutorial for the new dashboard feature?,1,35.06666666666667,Biennial,2+ Years,0.145,Low"
"1080,1,5,I'm very frustrated with the downtime. This is unacceptable.,1,36.0,Biennial,2+ Years,1.0,Very High"
"131,0,19,Is there a tutorial for the new dashboard feature?,0,4.366666666666666,Month-to-month,0-6 Months,0.23,Low"
"923,0,15,Just checking if my payment went through.,0,30.766666666666666,Biennial,2+ Years,0.105,Low"
"818,0,19,How do I change my password?,0,27.266666666666666,Biennial,2+ Years,0.035,Low"
"830,0,52,Is there a tutorial for the new dashboard feature?,1,27.666666666666668,Biennial,2+ Years,0.02,Low"
"102,2,31,I need to update my billing address.,0,3.4,Month-to-month,0-6 Months,0.04,Low"
"921,2,57,I need to update my billing address.,0,30.7,Biennial,2+ Years,0.17,Low"
"265,1,5,I've been waiting for support for 3 days. I'm cancelling.,1,8.833333333333334,Month-to-month,6-12 Months,1.0,Very High"
"173,0,110,""Just upgraded to the Pro plan, excited to use it."",0,5.766666666666667,Month-to-month,0-6 Months,0.02,Low"
"326,2,18,I need to update my billing address.,0,10.866666666666667,Month-to-month,6-12 Months,0.16,Low"
"38,0,119,""Smooth experience so far, no complaints."",0,1.2666666666666666,Month-to-month,0-6 Months,0.0,Low"
"131,2,29,I need to update my billing address.,0,4.366666666666666,Month-to-month,0-6 Months,0.06,Low"
